2021,경상북도,경주시,177,162,15,90,12,112,26,446,148,191,1
2021,경상북도,고령군,13,13,0,5,1,,,25,2,9,
2021,경상북도,구미시,799,773,26,35,9,1,51,709,1,260,12
2021,경상북도,군위군,3,2,1,2,1,,,8,,8,2
2021,경상북도,김천시,138,134,4,16,12,2,2,129,1,114,1
2021,경상북도,문경시,53,43,10,10,8,2,1,65,2,97,2
2021,경상북도,봉화군,10,7,3,4,2,2,,16,,29,1
2021,경상북도,상주시,71,70,1,13,6,,1,63,2,57,3
2021,경상북도,성주군,12,11,1,23,4,,1,22,1,12,
2021,경상북도,안동시,220,208,12,22,10,6,3,256,1,189,5
2021,경상북도,영덕군,9,7,2,30,5,14,,50,4,34,1
2021,경상북도,영주시,116,109,7,18,7,3,4,184,3,121,2
2021,경상북도,영천시,55,50,5,12,8,1,2,82,,70,1
2021,경상북도,예천군,25,25,0,9,3,,,47,,40,2
2021,경상북도,울릉군,1,1,0,,1,10,,14,10,14,1
2021,경상북도,울진군,16,12,4,9,5,15,,70,12,71,2
2021,경상북도,의성군,9,8,1,4,2,1,2,29,,48,2
2021,경상북도,청도군,14,12,2,16,7,,,21,,14,
2021,경상북도,청송군,2,2,0,17,1,,1,27,,13,1
2021,경상북도,칠곡군,216,211,5,5,7,2,19,130,2,75,1
2021,경상북도,포항시 남구,392,365,27,86,22,12,12,543,7,122,2
2021,경상북도,포항시 북구,442,430,12,120,11,10,7,517,6,193,12
2021,광주광역시,광산구,1036,1000,36,143,26,2,50,870,1,178,6
2021,광주광역시,남구,316,300,16,34,1,1,9,389,,9,4
2021,광주광역시,동구,262,258,4,44,3,,17,440,,75,17
2021,광주광역시,북구,1026,1011,15,118,14,,46,935,5,97,1
2021,광주광역시,서구,572,559,13,77,6,,18,858,,233,12
2021,대구광역시,남구,218,211,7,31,,1,6,211,,89,4
2021,대구광역시,달서구,1017,947,70,94,1,1,21,789,1,294,5
2021,대구광역시,달성군,278,244,34,21,5,,4,177,5,57,1
2021,대구광역시,동구,511,477,34,88,6,,14,353,5,197,5
2021,대구광역시,북구,700,653,47,53,2,,8,566,,185,4
2021,대구광역시,서구,222,200,22,42,1,,19,233,,146,7
2021,대구광역시,수성구,1011,961,50,87,,1,6,537,2,166,3
2021,대구광역시,중구,398,384,14,35,,2,3,630,2,72,14
2021,대전광역시,대덕구,432,414,18,19,1,,4,279,2,52,
2021,대전광역시,동구,358,333,25,18,2,,20,310,1,18,9
2021,대전광역시,서구,990,926,64,107,4,,13,819,1,17,6
2021,대전광역시,유성구,545,521,24,62,5,2,7,579,2,75,4
2021,대전광역시,중구,636,582,54,78,6,,22,460,,74,7
2021,부산광역시,강서구,126,113,13,15,,6,1,165,3,17,1
2021,부산광역시,금정구,404,399,5,136,,2,6,422,,84,6
2021,부산광역시,기장군,346,329,17,33,2,10,3,244,24,53,2
2021,부산광역시,남구,461,445,16,67,,1,2,437,,43,6
2021,부산광역시,동구,90,84,6,99,,3,3,165,,203,14
2021,부산광역시,동래구,524,508,16,160,,,12,579,,209,5
2021,부산광역시,부산진구,749,739,10,194,,,12,1113,,375,30
2021,부산광역시,북구,489,463,26,66,,1,4,368,1,142,2
2021,부산광역시,사상구,254,245,9,107,1,,5,366,,139,3
2021,부산광역시,사하구,677,659,18,159,,1,11,523,,216,4
2021,부산광역시,서구,221,216,5,50,,2,2,118,,49,3
2021,부산광역시,수영구,271,263,8,119,1,7,4,497,,64,2
2021,부산광역시,연제구,170,156,14,84,,2,7,365,,187,13
2021,부산광역시,영도구,107,98,9,28,,,11,171,,142,1
2021,부산광역시,중구,429,426,3,162,,7,11,320,1,237,2
2021,부산광역시,해운대구,664,634,30,121,1,23,3,631,13,184,5
2021,서울특별시,강남구,914,877,37,205,2,4,2,1976,1,166,52
