"signgu","sido","rpt_total","rpt_youthcrime","rpt_violence","cnt_danran","cnt_motel","cnt_accm_living","cnt_adultgame","cnt_bar","cnt_accm_travel","cnt_yuheung","cnt_club","cnt_bell"
"부산진구","부산광역시",749,739,10,194,0,0,12,1113,0,375,30,15
"부안군","전라북도",32,20,12,21,6,0,0,78,0,34,1,20
"부여군","충청남도",59,50,9,28,4,7,6,75,3,35,0,10
"부천시","경기도",2557,2439,118,157,0,0,43,1590,0,458,19,54
"부평구","인천광역시",2166,2037,129,109,0,0,22,851,1,169,9,949
"북구","광주광역시",1026,1011,15,118,14,0,46,935,5,97,1,644
"북구","부산광역시",489,463,26,66,0,1,4,368,1,142,2,644
"북구","대구광역시",700,653,47,53,2,0,8,566,0,185,4,644
"북구","울산광역시",557,501,56,21,3,10,24,234,9,47,2,644
"사상구","부산광역시",254,245,9,107,1,0,5,366,0,139,3,0
"사천시","경상남도",123,111,12,44,15,2,1,199,2,166,3,1
"사하구","부산광역시",677,659,18,159,0,1,11,523,0,216,4,0
"산청군","경상남도",1,0,1,5,3,2,0,30,0,19,0,18
"삼척시","강원도",51,44,7,24,1,26,4,132,12,81,5,71
"상주시","경상북도",71,70,1,13,6,0,1,63,2,57,3,33
"서구","광주광역시",572,559,13,77,6,0,18,858,0,233,12,1486
"서구","대전광역시",990,926,64,107,4,0,13,819,1,17,6,1486
"서구","인천광역시",1685,1485,200,72,0,0,22,755,2,59,4,1486
"서구","부산광역시",221,216,5,50,0,2,2,118,0,49,3,1486
"서구","대구광역시",222,200,22,42,1,0,19,233,0,146,7,1486
"서귀포시","제주특별자치도",272,239,33,138,3,167,4,394,209,258,7,132
"서대문구","서울특별시",662,638,24,42,1,5,5,637,2,27,4,918
"서산시","충청남도",267,213,54,40,16,6,10,304,6,92,4,2013
"서천군","충청남도",22,16,6,8,2,2,11,82,5,28,0,69
"서초구","서울특별시",469,450,19,85,1,16,8,921,3,42,23,535
"성남시 분당구","경기도",698,671,27,48,2,3,6,658,5,68,4,1022
"성남시 수정구","경기도",721,691,30,48,0,1,32,348,2,127,5,773
"성남시 중원구","경기도",427,406,21,71,0,1,16,477,0,103,5,494
"성동구","서울특별시",621,603,18,37,0,2,15,568,0,22,0,1778
"성북구","서울특별시",1042,1006,36,47,2,2,12,582,1,8,5,1971
"성주군","경상북도",12,11,1,23,4,0,1,22,1,12,0,3
"속초시","강원도",286,279,7,106,1,57,2,221,30,78,5,0
"송파구","서울특별시",1505,1431,74,139,2,2,10,1133,0,85,7,1634
"수성구","대구광역시",1011,961,50,87,0,1,6,537,2,166,3,25
"수영구","부산광역시",271,263,8,119,1,7,4,497,0,64,2,0
"수원시 권선구","경기도",930,878,52,28,5,0,1,459,0,37,6,82
"수원시 영통구","경기도",875,840,35,14,0,3,1,492,0,25,0,86
"수원시 장안구","경기도",548,525,23,42,0,1,10,383,0,77,3,35
"수원시 팔달구","경기도",708,671,37,56,2,2,15,649,0,145,15,74
"순창군","전라북도",14,12,2,1,1,1,0,18,0,14,0,48
"순천시","전라남도",662,605,57,70,26,44,5,624,30,253,8,441
"시흥시","경기도",2196,2054,142,59,2,7,21,799,4,272,5,1481
"신안군","전라남도",4,3,1,4,1,0,0,25,0,21,0,0
"아산시","충청남도",758,644,114,83,17,1,28,487,0,179,4,75
"안동시","경상북도",220,208,12,22,10,6,3,256,1,189,5,0
"안산시 단원구","경기도",1306,1242,64,117,0,38,17,752,77,311,9,830
"안산시 상록구","경기도",1207,1164,43,55,3,2,12,481,3,95,2,1231
"안성시","경기도",530,492,38,15,6,0,37,267,1,73,3,15
"안양시 동안구","경기도",702,677,25,50,0,2,2,522,0,188,4,510
"안양시 만안구","경기도",592,557,35,29,2,1,12,441,0,155,9,545
"양구군","강원도",15,13,2,19,0,9,1,23,8,17,0,25
"양산시","경상남도",700,595,105,86,2,3,2,509,2,323,6,299
"양양군","강원도",13,11,2,21,4,29,1,49,11,24,2,0
"양주시","경기도",658,627,31,38,5,6,1,241,16,84,0,916
"양천구","서울특별시",975,916,59,64,0,0,6,572,1,4,0,1318
"양평군","경기도",122,117,5,11,10,0,6,102,6,84,1,74
"여수시","전라남도",599,542,57,171,24,41,23,957,49,351,7,136
"여주시","경기도",127,118,9,31,12,0,2,142,1,35,2,36
"연수구","인천광역시",1009,912,97,33,2,2,2,591,4,75,8,43
"연제구","부산광역시",170,156,14,84,0,2,7,365,0,187,13,47
"연천군","경기도",31,30,1,10,0,1,1,57,6,54,0,259
"영광군","전라남도",36,30,6,7,5,6,0,65,4,50,1,32
"영덕군","경상북도",9,7,2,30,5,14,0,50,4,34,1,0
"영도구","부산광역시",107,98,9,28,0,0,11,171,0,142,1,5
"영동군","충청북도",30,28,2,4,4,0,6,38,0,33,0,0
"영등포구","서울특별시",724,694,30,194,0,5,17,980,3,135,12,2193
"영암군","전라남도",29,23,6,16,3,8,5,83,0,28,1,69
"영월군","강원도",53,46,7,4,1,4,0,37,3,25,0,0
"영주시","경상북도",116,109,7,18,7,3,4,184,3,121,2,0
"영천시","경상북도",55,50,5,12,8,1,2,82,0,70,1,38
"예산군","충청남도",90,76,14,42,12,0,20,117,0,27,3,44
"예천군","경상북도",25,25,0,9,3,0,0,47,0,40,2,0
"오산시","경기도",526,477,49,35,4,0,8,289,0,127,4,17
"옥천군","충청북도",45,42,3,9,6,0,7,38,0,23,0,15
"옹진군","인천광역시",2,0,2,2,0,0,0,26,0,22,1,9
"완도군","전라남도",21,18,3,20,1,5,4,82,1,80,1,0
"완주군","전라북도",119,97,22,17,12,0,3,98,1,32,3,166
"용산구","서울특별시",321,305,16,91,0,16,0,1068,6,21,48,1879
"용인시 기흥구","경기도",833,804,29,19,3,0,3,328,2,57,2,2
"용인시 수지구","경기도",590,559,31,9,0,3,0,240,1,23,0,1
"용인시 처인구","경기도",424,387,37,46,10,6,15,338,30,112,1,3
"울릉군","경상북도",1,1,0,0,1,10,0,14,10,14,1,0
"울주군","울산광역시",413,341,72,33,19,30,10,274,11,176,1,330
"울진군","경상북도",16,12,4,9,5,15,0,70,12,71,2,72
"원주시","강원도",1128,1058,70,68,12,4,25,676,0,242,17,1237
"유성구","대전광역시",545,521,24,62,5,2,7,579,2,75,4,69
"은평구","서울특별시",2502,2431,71,129,0,2,19,688,0,78,6,1597
"음성군","충청북도",129,120,9,39,13,0,10,190,0,114,2,160
"의령군","경상남도",6,5,1,11,1,0,0,29,0,32,1,17
"의성군","경상북도",9,8,1,4,2,1,2,29,0,48,2,0
"의왕시","경기도",135,124,11,10,0,0,0,121,0,16,0,392
"의정부시","경기도",1876,1835,41,128,1,0,17,750,3,237,10,190
"이천시","경기도",563,524,39,41,15,0,6,349,1,93,4,554
"익산시","전라북도",497,436,61,107,20,0,8,570,2,107,4,111
"인제군","강원도",9,6,3,8,0,2,13,45,1,40,0,125
"임실군","전라북도",2,2,0,3,2,3,0,14,0,4,0,64
"장성군","전라남도",9,7,2,5,1,7,0,14,1,8,1,60
"장수군","전라북도",2,1,1,4,0,0,0,23,0,11,0,12
"장흥군","전라남도",36,31,5,5,4,2,1,34,3,24,2,6
"전주시 덕진구","전라북도",666,593,73,55,16,2,18,569,2,152,4,33
"전주시 완산구","전라북도",879,809,70,114,2,53,8,859,27,120,11,74
"정선군","강원도",11,10,1,8,0,34,5,51,28,50,1,1
"정읍시","전라북도",284,259,25,18,9,0,1,149,0,90,4,115
"제주시","제주특별자치도",1154,1046,108,418,24,316,13,1177,266,513,13,516
"제천시","충청북도",296,281,15,46,10,1,3,279,1,95,2,378
"종로구","서울특별시",126,118,8,103,1,22,17,906,5,178,3,118
"중구","서울특별시",324,307,17,60,1,20,7,755,10,213,4,2730
"중구","대전광역시",636,582,54,78,6,0,22,460,0,74,7,2730
"중구","인천광역시",304,261,43,56,1,25,9,266,25,88,1,2730
"중구","대구광역시",398,384,14,35,0,2,3,630,2,72,14,2730
"중구","울산광역시",1036,941,95,66,1,1,19,320,0,107,6,2730
"중구","부산광역시",429,426,3,162,0,7,11,320,1,237,2,2730
"중랑구","서울특별시",1535,1473,62,94,1,0,9,686,0,17,2,1702
"증평군","충청북도",133,125,8,10,7,0,3,67,0,34,2,9
"진도군","전라남도",19,18,1,3,2,1,0,58,0,39,1,14
"진안군","전라북도",4,4,0,1,1,0,0,9,0,8,0,77
"진주시","경상남도",733,686,47,113,14,2,28,828,0,246,6,760
"진천군","충청북도",134,124,10,18,16,0,3,136,0,83,0,114
"창녕군","경상남도",28,25,3,30,5,1,1,62,0,74,2,41
"창원시 마산합포구","경상남도",204,180,24,111,5,1,3,419,1,442,8,16
"창원시 마산회원구","경상남도",268,247,21,74,1,0,3,363,1,198,2,12
"창원시 성산구","경상남도",444,422,22,30,0,1,1,493,2,516,9,31
"창원시 의창구","경상남도",246,220,26,41,7,0,4,368,2,290,3,17
"창원시 진해구","경상남도",457,427,30,31,0,0,2,349,1,256,6,33
"천안시 동남구","충청남도",771,652,119,38,15,0,11,361,1,64,4,965
"천안시 서북구","충청남도",814,725,89,50,7,1,19,772,0,262,14,1080
